model,calculusType,cell,alpha_0,beta_0,r_nucleus,D_t,radiation_type,particle,meanEnergy,meanEnergy_sigma,meanLET,meanLET_sigma,LETd,LETd_sigma,nFractions,timeSpacing,fracDeliveryTime,alpha,beta,alpha_sigma,beta_sigma
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG293.mixedField,7.47718,4.00805,0.0322119,0.0507567,0.11219,0.0388059,1,0,0,3.08571,0.000718594,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG294.mixedField,7.54915,3.95543,0.0301579,0.0480714,0.106783,0.0384977,1,0,0,3.18209,0.000837909,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG295.mixedField,7.55014,3.98334,0.0299636,0.0474125,0.104986,0.037846,1,0,0,3.23545,0.00084051,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG296.mixedField,7.16096,3.89112,0.0328044,0.0508766,0.111709,0.0386928,1,0,0,3.09248,0.000721072,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG297.mixedField,7.42053,3.97961,0.0309995,0.048472,0.106792,0.0377916,1,0,0,3.2012,0.000783805,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG298.mixedField,7.19841,3.92412,0.030449,0.0465455,0.1016,0.036436,1,0,0,3.34548,0.00082429,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG299.mixedField,6.99456,3.64665,0.0313854,0.049993,0.111018,0.0405264,1,0,0,3.06326,0.000859872,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG300.mixedField,7.60972,4.01984,0.030913,0.0491756,0.10914,0.0385578,1,0,0,3.13672,0.00077967,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG301.mixedField,7.72186,3.97377,0.0276869,0.0443409,0.0986993,0.037166,1,0,0,3.36827,0.000991469,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG302.mixedField,7.62859,4.15118,0.0311106,0.0482454,0.105928,0.0367031,1,0,0,3.25118,0.000735457,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG303.mixedField,7.55242,4.07132,0.0336527,0.053174,0.117672,0.0395071,1,0,0,2.97273,0.000643663,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG304.mixedField,7.8689,4.03593,0.0305806,0.0501462,0.11281,0.0400639,1,0,0,3.03802,0.000795517,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG305.mixedField,7.53668,3.7478,0.0262635,0.0427392,0.095814,0.0380886,1,0,0,3.38781,0.00119059,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG306.mixedField,7.89531,4.04012,0.0283593,0.0460379,0.103096,0.0380694,1,0,0,3.25671,0.000925368,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG307.mixedField,7.67286,4.09071,0.0294991,0.0462342,0.101963,0.0366034,1,0,0,3.32188,0.000837666,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG308.mixedField,7.14675,3.8029,0.0286992,0.044307,0.0971022,0.0364409,1,0,0,3.42827,0.000975762,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG309.mixedField,7.34759,3.87745,0.0291973,0.0457723,0.100954,0.0372962,1,0,0,3.32735,0.000916535,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG310.mixedField,7.58622,3.9541,0.0321714,0.0521001,0.116545,0.0406437,1,0,0,2.96932,0.000735705,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG311.mixedField,7.82878,4.13575,0.0290836,0.0460045,0.101854,0.0366818,1,0,0,3.31935,0.000850819,0,0
