model,calculusType,cell,alpha_0,beta_0,r_nucleus,D_t,radiation_type,particle,meanEnergy,meanEnergy_sigma,meanLET,meanLET_sigma,LETd,LETd_sigma,nFractions,timeSpacing,fracDeliveryTime,alpha,beta,alpha_sigma,beta_sigma
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG139.mixedField,5.93002,3.1607,0.0298013,0.0447071,0.0968697,0.0384613,1,0,0,3.3746,0.0011425,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG140.mixedField,5.93339,3.29289,0.0339276,0.0503936,0.108779,0.0395343,1,0,0,3.13328,0.000827824,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG141.mixedField,5.88818,3.16851,0.0306476,0.0458024,0.0990988,0.0387035,1,0,0,3.32336,0.00107422,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG142.mixedField,5.93751,3.20784,0.0315736,0.047388,0.102697,0.0392799,1,0,0,3.24253,0.000995688,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG143.mixedField,5.92081,3.26687,0.0347187,0.0520209,0.112664,0.0406285,1,0,0,3.04798,0.000798818,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG144.mixedField,5.96413,3.22979,0.0319411,0.0480556,0.104241,0.0404149,1,0,0,3.21597,0.000963743,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG145.mixedField,5.82187,3.11839,0.0325286,0.0493333,0.107348,0.041229,1,0,0,3.12841,0.000971102,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG146.mixedField,5.8689,3.30315,0.0336575,0.049208,0.105601,0.0384223,1,0,0,3.21945,0.000834845,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG147.mixedField,5.95184,3.33968,0.0336687,0.0494849,0.1064,0.0385383,1,0,0,3.20613,0.000823622,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG148.mixedField,5.94112,3.27546,0.0323543,0.0479306,0.10336,0.0386098,1,0,0,3.25161,0.00091929,0,0
