H,He,Li,Be,B,C,N,O,F,Ne
53.6782,35.9376,14.0295,0.553946,0.414331,0.254271,0.151135,0.00829479,0.101464,0
53.5476,35.3778,11.6066,0.575393,0.195286,0.242444,0.106194,0.00676803,0.142738,0.00923138
53.5862,35.8188,13.8561,1.69129,0.276799,0.246643,0.138999,0.00679937,0.354492,0
53.4459,34.6168,12.1118,0.298673,0.253022,0.198597,0.121355,0.00506189,0.124131,0
53.1296,34.4629,10.0094,0.000825316,0.265012,0.242976,0.0905502,0.00687208,0.0441901,0.00848054
53.2003,33.9965,14.7191,0.318452,0.41014,0.191306,0.131416,0.00597509,0.0994884,0
53.0284,33.4235,14.9106,0.366622,0.238635,0.211481,0.101709,0.0071203,0.0663116,0.200519
52.8082,33.2025,12.9161,0.243754,0.190718,0.211618,0.143219,0.00468207,0.084145,0
52.6936,32.381,13.3961,0.0918808,0.398054,0.212573,0.0949782,0.00528023,0.138495,0
52.7585,32.0167,10.3481,0.169492,0.365269,0.189159,0.139631,0.00752078,0.179336,0.00718901
52.4008,32.0127,13.0158,0.526661,0.397503,0.249944,0.121287,0.00572908,0.144972,0
52.7154,31.64,11.3091,0.45163,0.220863,0.248987,0.104655,0.00603068,0.18075,0
52.4929,31.3995,10.7057,0.371814,0.323718,0.205999,0.0815783,0.00591939,0.0564377,0
52.105,30.5133,9.62919,0.438258,0.390702,0.213227,0.142346,0.00714743,0.125938,0
51.8945,30.6411,10.2097,0.955297,0.394054,0.21291,0.162441,0.00546669,0.148609,0
51.6234,30.12,9.34783,0.288849,0.480538,0.166292,0.156055,0.00768236,0.121962,0
51.3398,29.8905,9.35454,0.319579,0.224942,0.224777,0.148111,0.00447589,0.0965925,0
51.2758,29.543,12.3175,0.0343916,0.371585,0.279045,0.121317,0.00657877,0.101614,0
51.5272,29.1003,9.77974,0.259365,0.291432,0.196166,0.132681,0.00647489,0.132992,0.00559341
51.4561,29.3645,7.66201,0.251407,0.34491,0.159654,0.100414,0.00588839,0.124063,0
51.2633,29.4951,7.27396,0.49708,0.241026,0.185804,0.122606,0.00564947,0.135699,0.0022671
50.9194,28.7657,8.37561,0.863572,0.276596,0.222933,0.127719,0.00734812,0.183198,0
50.7484,28.2665,5.71688,0.413635,0.274788,0.185501,0.0969896,0.00443314,0.0795308,0
50.8054,28.1218,9.81975,0.406895,0.317741,0.197678,0.112766,0.00458208,0.158102,0.0117157
50.7672,27.9941,5.50963,0.034753,0.342965,0.184195,0.113359,0.00530974,0.075049,0
50.4751,28.0116,4.83725,0.0417895,0.348091,0.129154,0.0708712,0.00550763,0.0494002,0
50.5847,27.211,6.30428,0.546993,0.350958,0.175097,0.145115,0.00389678,0.0858887,0
50.2438,26.3541,7.05242,0.000988358,0.49832,0.206933,0.0827332,0.00571854,0.119768,0
50.299,27.4255,3.86026,0.284203,0.328005,0.121658,0.138826,0.00524379,0.0500905,0
49.9322,27.2748,4.42318,0.0204849,0.282953,0.305676,0.0887703,0.0046058,0.113583,0.0794529
49.878,26.8756,3.56513,0.373986,0.474833,0.206595,0.0681838,0.00458771,0.115803,0
49.7896,26.5223,4.37169,0.828288,0.167514,0.213824,0.112252,0.00412409,0.0799476,0
49.6178,25.9394,4.92902,0.144042,0.24788,0.198467,0.0850546,0.00558488,0.0675657,0
49.3683,26.3073,5.14228,0.0396548,0.188206,0.161944,0.122898,0.00484271,0.0923448,0
49.2964,25.444,4.18826,0.0253703,0.238908,0.183291,0.0839509,0.00448098,0.0480713,0
49.3563,25.7428,5.5887,0.0600882,0.173873,0.1917,0.0744255,0.00443362,0.0737214,0
49.2886,25.6501,4.9427,0.0769264,0.287537,0.191101,0.116596,0.00592546,0.0507163,0
49.2318,25.0131,2.8881,0.149262,0.181454,0.179368,0.0797806,0.00419019,0.0561509,0
48.87,25.2917,3.3588,0.926009,0.220445,0.137777,0.0853363,0.00523909,0.017181,0
48.5209,25.701,2.04234,0.400994,0.453837,0.161283,0.0974033,0.00380213,0.0807941,0
48.5865,25.3402,3.95568,0.332071,0.176693,0.153431,0.0832819,0.00396664,0.123152,0
48.6164,24.4921,2.03393,0,0.333298,0.16992,0.119115,0.00426213,0.0579013,0
48.737,24.5121,2.46686,0,0.252516,0.190684,0.13123,0.00468692,0.158348,0
48.167,24.6643,2.08358,0.303871,0.232985,0.167185,0.0995618,0.00492985,0.0730921,0
48.1941,23.9421,2.2581,0.00121591,0.32166,0.199934,0.122376,0.00433213,0.054954,0
47.9467,24.7614,2.05775,0.0993681,0.190521,0.127701,0.063565,0.00433621,0.0835084,0
