H,He,Li,Be,B,C,N,O,F,Ne
53.3548,33.2046,10.6739,0.346374,0.252147,0.273225,0.130451,0.00563149,0.0776439,0
53.5246,33.0005,8.83871,0.527212,0.248554,0.244222,0.111318,0.00563126,0.168265,0
53.0458,32.6003,9.19148,0.518296,0.377745,0.210428,0.143715,0.0065167,0.161105,0
53.1916,31.8057,9.81648,0.275855,0.306838,0.219324,0.102295,0.00730481,0.0867937,0.0073418
52.8847,31.4694,8.10603,0.271676,0.299465,0.247939,0.195571,0.00570731,0.0955196,0.0383472
52.5902,31.2549,9.18583,0.36432,0.320681,0.1849,0.143754,0.0071325,0.142594,0
52.6152,30.8685,8.23972,0.65514,0.347105,0.22187,0.133525,0.00558256,0.12699,0
52.7117,29.9686,7.96934,0.580463,0.422269,0.209624,0.108688,0.00711921,0.132326,0.0105289
52.6152,29.9743,9.02896,0.768398,0.262048,0.196651,0.124683,0.00684402,0.169774,0.361462
52.4475,29.316,7.58666,0.303119,0.293147,0.238078,0.129373,0.00811964,0.118051,0
52.4778,29.347,6.08396,0.572464,0.333413,0.20953,0.128001,0.00709654,0.0816426,0.0981973
52.1965,29.1582,6.86895,0.433266,0.156848,0.168948,0.117197,0.00570873,0.0256801,0
51.9998,28.7428,6.55963,0.549339,0.30625,0.235642,0.15506,0.00692105,0.331406,0.312057
51.7232,28.6815,5.15647,0.609938,0.316409,0.341563,0.142823,0.00585481,0.0629283,0.012728
51.6876,28.2743,6.50941,0.564114,0.379845,0.198577,0.135575,0.00610105,0.115214,0
51.7454,27.9629,5.40751,0.250034,0.3174,0.195875,0.15913,0.00613249,0.123971,0
51.5604,26.9006,5.10064,0.272895,0.336291,0.205282,0.169435,0.00619053,0.106943,0
51.6742,26.7465,3.43934,0.52274,0.667359,0.145978,0.104964,0.00493871,0.0851832,0
51.6435,26.9805,3.80538,0.456692,0.230951,0.227394,0.106492,0.00609218,0.111252,0
51.2377,26.6522,3.01956,0.451363,0.179987,0.238347,0.107283,0.00609466,0.06259,0
50.9154,26.4034,3.22894,0.563352,0.166471,0.201657,0.100232,0.00641153,0.173334,0.0941399
51.0438,25.7681,3.08409,0.272757,0.330383,0.2408,0.0874836,0.00621081,0.0975504,0
